id,year,title,reviews_count,wish_count,collect_count,tags,pubdates,languages,durations,genres,countries,summary,aka,castsid,castsname,directorsid,directorsname,writersid,writersname
30196805,2019,两只老虎,44,40099,256,"['肖战', '葛优', '喜剧', '赵薇', '国产电影', '2019', '李非', '中国', '电影', '内地电影']",['2019-11-29(中国大陆)'],['汉语普通话'],[],"['剧情', '喜剧']",['中国大陆'],"低配绑匪遇上了极品人质，威逼不成，反被人质利诱，替人质办了三件事的荒诞喜剧。
",['Two Tigers'],"['1000905', '1163713', '1316368', '1051526', '1327361', '1327361']","['葛优', '赵薇', '乔杉', '范伟']","['1000905', '1163713', '1316368', '1051526', '1327361', '1327361']",['李非'],"['1000905', '1163713', '1316368', '1051526', '1327361', '1327361']",['李非']
30318116,2019,利刃出鞘,3,21716,271,"['悬疑', '犯罪', '美国', '克里斯·埃文斯', '2019', '丹尼尔·克雷格', '剧情', 'ChrisEvans', '美国电影', '动作']","['2019-09-07(多伦多电影节)', '2019-11-27(美国)', '2019-11-29(中国大陆)']",['英语'],['130分钟'],"['剧情', '喜剧', '犯罪']",['美国'],"富豪小说家霍华德·斯隆比在自己85岁生日第二天，被发现在自家庄园离奇自杀，遗留了亿万遗产。久负盛名的大侦探布兰科（丹尼尔·克雷格饰）突然被匿名人士雇佣调查此案真相。同时，霍华德的孙子兰森（克里斯·埃文斯饰）也正在秘密调查此案。当布兰科和霍华德·斯隆比家族的其他人对谈时，他发现事情并没有想象中那么简单。
霍华德家族没有表面上那么和睦，每个人都有着不可告人的秘密，每个人都想得到遗产……究竟这起命案是自杀还是他杀？似乎每个人都有嫌疑。随着一位遗产继承人的意外亮相，真相谜底渐渐浮出水面……","['亮剑', '锋回路转(台)', '神探白朗：福比利大宅谋杀案(港)', '出鞘', '上流谋杀案']","['1025175', '1017885', '1144415', '1045259', '1036605', '1036605']","['丹尼尔·克雷格', '克里斯·埃文斯', '迈克尔·珊农', '安娜·德·阿玛斯']","['1025175', '1017885', '1144415', '1045259', '1036605', '1036605']",['莱恩·约翰逊'],"['1025175', '1017885', '1144415', '1045259', '1036605', '1036605']",['莱恩·约翰逊']
33400376,2019,平原上的夏洛克,26,9677,1746,"['FIRST青年电影展', '喜剧', '农村', '小人物', '中国', '2019', 'FIRST', '徐磊', '剧情', '中国大陆']","['2019-07-22(FIRST青年影展)', '2019-11-29(中国大陆)']",['汉语普通话'],['90分钟'],"['剧情', '喜剧', '悬疑']",['中国大陆'],超英翻盖新房 ，占义、树河前来帮忙，没想到树河却因意外车祸入院，司机肇事逃逸，超英和占义化身“平原侦探”，踏上了一段令人啼笑皆非的荒诞追凶之旅。,"['Rebuilding', 'Summer Detective']","['1418344', '1424741', '1424742', '1415626', '1415626']","['徐朝英', '张占义 ', '宿树河 ']","['1418344', '1424741', '1424742', '1415626', '1415626']",['徐磊'],"['1418344', '1424741', '1424742', '1415626', '1415626']",['徐磊']
26715965,2018,衣柜里的冒险王,16,4598,2692,"['印度', '喜剧', '法国', '浪漫', '爱情', '神奇', '2018', '小说改编', '温情', '剧情']","['2018-05-30(法国)', '2019-11-29(中国大陆)']","['英语', '印度语']","['92分钟', '96分钟(中国大陆)']","['剧情', '喜剧']","['法国', '印度']","靠骗取游客钱财为生的印度街头小混混阿贾，一直努力攒钱想带母亲去巴黎，可惜母亲没能等到这一天便去世了。于是，身上只有100欧元的阿贾带着母亲的骨灰踏上巴黎穷游之旅。为了省去住宿费阿贾藏在宜家的衣柜里，不料阴差阳错被运到英国，而后辗转流落到西班牙、意大利、利比亚……一段精彩非凡的冒险之旅由此展开。
","['苦行僧的非凡旅程', '困在宜家衣柜里的苦行僧', '跟着IKEA衣橱去旅行(台)']","['1219536', '1009461', '1126302', '1335066', '1323854', '1317443', '1393333', '1393334', '1323854']","['丹努什', '贝热尼丝·贝乔', '艾琳·莫里亚蒂', '巴克德·阿巴蒂']","['1219536', '1009461', '1126302', '1335066', '1323854', '1317443', '1393333', '1393334', '1323854']",['肯·斯科特'],"['1219536', '1009461', '1126302', '1335066', '1323854', '1317443', '1393333', '1393334', '1323854']","['卢克·博西', '乔恩·戈德曼', '罗曼·普罗托拉斯', '肯·斯科特']"
26263417,2019,一生有你2019,2,2336,55,"['一生有你', '水木年华', '青春', '校园', '校园回忆', '回忆', '黄婷婷', '爱情', '晏紫东', '中国电影']",['2019-11-29(中国大陆)'],['汉语普通话'],['90分钟'],['爱情'],['中国大陆'],"根据经典同名歌曲改编，还原校园民谣时期大学校园里的一段真实故事。
当母胎单身的工科男欧洋（谢彬彬饰）邂逅文艺女校花方瑶（徐娇饰），为了毕业前脱单，欧洋阴差阳错地学起了吉他，伙同损友们上演了一出“音乐求爱”的大戏，于是一段充满欢笑眼泪，热血而又遗憾的初恋开始了……","['一生有你', 'Miss Forever']","['1023236', '1352794', '1362288', '1350870', '1326070', '1335829', '1373018', '1322741', '1406619', '1423011', '1327604']","['徐娇', '谢彬彬', '晏紫东', '黄婷婷']","['1023236', '1352794', '1362288', '1350870', '1326070', '1335829', '1373018', '1322741', '1406619', '1423011', '1327604']",['卢庚戌'],"['1023236', '1352794', '1362288', '1350870', '1326070', '1335829', '1373018', '1322741', '1406619', '1423011', '1327604']","['丛洋', '王九苓', '张挺', '王佳伟', '刘珊', '董润年']"
27595272,2019,冰峰暴,5,1389,70,"['张静初', '灾难', '役所广司', '中国大陆', '2019', '中国', '灾难动作', '林柏宏', '动作', '雪山']","['2019-11-03(东京电影节)', '2019-11-29(中国大陆)']",['汉语普通话'],['110分钟'],"['动作', '灾难']",['中国大陆'],喜马拉雅周边国家为了地区和平召开地区会议，议定《喜马拉雅公约》。会议召开前一架载有机密文件的飞机坠毁在珠峰南部，该文件可能危及喜马拉雅地区得之不易的和平局面。两名自称是印度军方紧急派出的特工，找到喜马拉雅救援队“翼小队”，请求协助登上珠峰秘密取回文件。尽管翼小队对此事心存疑虑，因陷入财务困难，犹豫再三，还是接受了珠峰领路的任务。但每个人并不知道在严酷的雪山之巅等待他们的将是什么……,"['飞越珠峰', 'Wings Over Everest']","['1016668', '1165478', '1275324', '1004741', '1385149', '1385149']","['张静初', '役所广司', '林柏宏', '维克多·韦伯斯特']","['1016668', '1165478', '1275324', '1004741', '1385149', '1385149']",['余非'],"['1016668', '1165478', '1275324', '1004741', '1385149', '1385149']",['余非']
34822531,2019,撼山瑶,0,94,5,"['乡村', '文艺', '教育', '支教', '剧情', '中国电影', '11月影单']",['2019-12-04(中国大陆)'],['汉语普通话'],['92分钟'],['剧情'],['中国大陆'],故事发生在中国西南边陲黔江少数民族——十三寨女儿谷的土家族村寨。从小生活在城里的大学生王姍瑶不顾家人及男友的反对和不理解，毅然决定独自一人去西南偏远地区做支教的志愿者。在阿蓬江支教过程中发生的一系列的事情，让王珊瑶犹豫自己当初的选择是否正确，自己到底该何去何从......,['Beautiful Teacher'],"['1409873', '1370207', '1367183', '1330710', '1339824', '1339824']","['曾格格', '姜永波', '辛祚宇', '尹恒']","['1409873', '1370207', '1367183', '1330710', '1339824', '1339824']",['马雍'],"['1409873', '1370207', '1367183', '1330710', '1339824', '1339824']",['马雍']
27668250,2019,南方车站的聚会,65,91848,2388,"['胡歌', '刁亦男', '桂纶镁', '廖凡', '值得一看', '2019', '中国大陆', '戛纳电影节', '犯罪', '华语']","['2019-05-18(戛纳电影节)', '2019-12-06(中国大陆)']",['武汉方言'],['113分钟'],"['剧情', '犯罪']","['中国大陆', '法国']","南方某城市，重案队长刘队（廖凡 饰）重金悬赏在逃罪犯周泽农（胡歌 饰）。陪泳女刘爱爱（桂纶镁 饰） 、周泽农曾经的好友华华（奇道 饰）、五年未见的妻子杨淑俊（万茜 饰），各色人等各怀心事，相继被卷入这场罪与罚的追击旋涡。冒险与爱情，人性与救赎，这场特别的“聚会”该如何收场？善恶有道一念之间。
中国导演刁亦男曾凭借前作《白日焰火》获第 64届柏林国际电影节最佳影片金熊奖，凭本片入围第 72届戛纳国际电影节主竞赛单元。","['野鹅塘', '野鹅湖', 'The Wild Goose Lake']","['1274477', '1215287', '1007401', '1315477', '1276173', '1276173']","['胡歌', '桂纶镁', '廖凡', '万茜']","['1274477', '1215287', '1007401', '1315477', '1276173', '1276173']",['刁亦男'],"['1274477', '1215287', '1007401', '1315477', '1276173', '1276173']",['刁亦男']
30198715,2019,吹哨人,1,17684,40,"['悬疑', '2019', '中国大陆', '犯罪', '剧情', '真实事件改编', '动作', '爱情', '推理', '经典']",['2019-12-06(中国大陆)'],['汉语普通话'],[],"['剧情', '犯罪', '悬疑']",['中国大陆'],吹哨人指所在企业或组织存在重大问题、严重威胁公众利益时，不惜面临巨大危险勇敢揭露的人。一场意外的空难，一次“普通”的跨国交易，一个竞争对手的离奇死亡，让在澳洲工作的华人员工马珂（雷佳音 饰）渐渐察觉到其中蹊跷。此时，神秘女人中方代表周雯（汤唯 饰）带来更多线索，一桩事关 几百万人性命的巨大阴谋开始浮出水面….,['The Whistleblower'],"['1025141', '1312940', '1275139', '1275139']","['汤唯', '雷佳音']","['1025141', '1312940', '1275139', '1275139']",['薛晓路'],"['1025141', '1312940', '1275139', '1275139']",['薛晓路']
27624663,2019,网络凶铃,0,152,10,"['恐怖', '惊悚', '中国', '马伯庸', '鹤田法男', '爱情', '华语电影', '孙伊涵']",['2019-12-06(中国大陆)'],['汉语普通话'],[],"['惊悚', '恐怖']",['中国大陆'],"电影《网络凶铃》根据“文学鬼才”马伯庸著名恐怖小说《她死在QQ上》改编，由“日本恐怖片之父”导演鹤田法男执导。
网络上断更多年的小说突然复更，读过小说的人相继离奇死亡。大学生小诺因为看见惊鸿阴森恐怖的死亡状态，由此厄运缠身，她开始看到越来越多人的死亡，而死亡方式竟然和小说中描述的完全一致。此刻她也开始明白，一部摄魂噬命的小说正在无限更新，这场夺命游戏也才刚刚开始......","['QQ上的访客', '看不见的凶手']","['1358762', None, '1350138', '1275702']","['孙伊涵', '张云亭', '傅孟柏']","['1358762', None, '1350138', '1275702']",['鹤田法男'],"['1358762', None, '1350138', '1275702']",[]
